"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Apr-2024","EQ","251.75","259.90","248.00","250.45","249.40","250.15","254.48","289.25","60.30","70,59,373","1,79,64,57,858.85","56,073"
"29-Apr-2024","EQ","252.45","256.90","248.50","250.95","250.00","250.45","252.13","289.25","60.30","57,56,512","1,45,14,05,239.00","45,155"
"26-Apr-2024","EQ","251.10","259.20","245.65","250.05","250.90","250.95","252.84","289.25","53.00","1,37,78,089","3,48,37,05,884.90","92,077"
"25-Apr-2024","EQ","250.95","256.70","246.15","248.70","249.65","250.05","250.61","289.25","53.00","1,61,89,162","4,05,72,41,161.30","1,08,313"
"24-Apr-2024","EQ","226.25","253.70","225.10","224.55","247.85","248.70","245.62","289.25","53.00","3,98,49,649","9,78,76,88,980.75","2,69,200"
"23-Apr-2024","EQ","224.80","228.90","223.00","223.20","223.80","224.55","225.54","289.25","53.00","19,21,727","43,34,21,518.05","29,102"
"22-Apr-2024","EQ","229.00","230.00","222.35","227.00","223.90","223.20","225.67","289.25","53.00","21,97,288","49,58,60,112.25","25,321"
"19-Apr-2024","EQ","221.90","229.00","215.75","223.15","227.10","227.00","224.90","289.25","52.85","43,23,901","97,24,64,238.05","48,210"
"18-Apr-2024","EQ","225.40","233.70","221.80","225.40","223.60","223.15","228.56","289.25","52.85","32,14,220","73,46,42,849.90","36,136"
"16-Apr-2024","EQ","222.60","228.40","221.05","222.90","225.40","225.40","225.68","289.25","52.85","28,84,823","65,10,53,714.80","29,905"
"15-Apr-2024","EQ","217.80","229.80","209.10","221.90","223.50","222.90","221.66","289.25","52.85","74,22,162","1,64,52,28,717.55","74,819"
"12-Apr-2024","EQ","223.45","230.90","220.80","223.50","222.40","221.90","225.21","289.25","52.85","45,28,615","1,01,98,85,155.00","53,627"
"10-Apr-2024","EQ","227.25","229.40","222.40","227.20","223.25","223.50","225.37","289.25","52.85","24,05,692","54,21,71,063.90","30,496"
"09-Apr-2024","EQ","234.00","235.30","225.00","233.15","227.95","227.20","228.94","289.25","52.85","22,56,475","51,66,00,811.55","30,639"
"08-Apr-2024","EQ","240.30","241.35","232.35","238.25","233.50","233.15","235.99","289.25","52.85","24,31,771","57,38,85,333.65","27,720"
"05-Apr-2024","EQ","235.55","242.60","230.05","234.95","237.85","238.25","238.05","289.25","52.85","45,15,447","1,07,48,80,222.65","45,146"
"04-Apr-2024","EQ","239.00","239.80","232.50","237.70","235.75","234.95","235.30","289.25","52.85","22,84,008","53,74,21,998.85","18,639"
"03-Apr-2024","EQ","238.95","244.90","236.00","237.80","237.35","237.70","239.91","289.25","52.85","59,78,189","1,43,42,08,074.35","42,327"
"02-Apr-2024","EQ","231.20","239.90","231.00","228.75","238.20","237.80","236.45","289.25","52.85","73,70,309","1,74,27,33,334.35","52,865"
"01-Apr-2024","EQ","219.00","229.50","219.00","218.55","228.95","228.75","226.79","289.25","52.85","45,38,462","1,02,92,95,685.40","31,041"
"28-Mar-2024","EQ","219.70","222.60","216.70","219.70","218.65","218.55","219.20","289.25","49.75","24,80,435","54,37,14,458.95","21,704"
"27-Mar-2024","EQ","224.00","227.55","218.05","223.75","219.85","219.70","223.11","289.25","49.75","39,49,031","88,10,81,530.00","30,175"
"26-Mar-2024","EQ","222.50","230.40","217.80","221.45","223.00","223.75","224.98","289.25","49.75","71,48,180","1,60,82,21,471.45","49,274"
"22-Mar-2024","EQ","218.50","225.70","216.40","217.95","220.60","221.45","221.96","289.25","49.75","46,27,479","1,02,71,35,947.65","30,280"
"21-Mar-2024","EQ","221.35","226.00","216.30","218.80","218.00","217.95","220.45","289.25","49.75","42,41,829","93,51,10,745.05","40,482"
